■생활관식당(블루미르308관)
2014년 11월 03일 ~ 2014년 11월 09일
주간식단표
구분,월요일(11/03),화요일(11/04),수요일(11/05),목요일(11/06),금요일(11/07),토요일(11/08),일요일(11/09)
조식,한식,"소고기무국(우양지:뉴질랜드산)
완자조림(돈육:국내산)
미역줄기볶음
숙주나물
쌀밥
얼갈이겉절이","고등어조림(고등어:국내산)
감자계란국
컬리플라워볶음
미역초무침
쌀밥
배추김치","수제비국
고기산적구이(돈육
계육:국내산)
무나물
유채나물
쌀밥
배추김치","비엔나채소볶음(돈육
계육:국내산)
오징어무국(오징어:국내산)
콩자반
돌나물상추겉절이
쌀밥
깍두기","참치채소볶음
순두부맑은국
청포묵김가루무침
브로컬리숙회*초장
쌀밥
깍두기","로스팜구이(돈육:수입산)
김치국
채소잡채
시래기된장조림
쌀밥
깍두기","배추국
꼬마돈까스간장조림(돈육
계육:국내산)
팽이버섯양파볶음
열무생채
쌀밥
깍두기"
824Kcal,818Kcal,849Kcal,834Kcal,838Kcal,843Kcal,839Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,08:00~09:00,08:00~09:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"치즈토스트
찐계란*소금
채소스프
시리얼&과일&우유
샐러드
피클","채소죽
모닝빵*딸기잼
시리얼&과일&우유
샐러드
배추김치","닭죽(계육:국내산)
감자튀김
시리얼&과일&우유
샐러드
배추김치","후렌치토스트
옥수수스프
시리얼&과일&우유
샐러드
피클","감자샌드위치
누룽지죽
시리얼&과일&우유
샐러드
배추김치",,
711Kcal,687Kcal,735Kcal,701Kcal,699Kcal,0Kcal,0Kcal
07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40,07:00~08:40, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
중식,한식,"만두김치찌개(돈육:국내산)
너비아니구이(돈육
계육:국내산)
건파래볶음
마늘쫑볶음
쌀밥
깍두기","사골곰탕&소면사리(우육
우사골농축액:호주산)
모둠채소전
새송이버섯볶음
오이지무침
쌀밥
깍두기","육개장(우양지:뉴질랜드산)
두부찜*양념장
감자채볶음
부추생채
쌀밥
깍두기","두부찜&볶음김치
시래기국
메추리알장조림
주키니호박볶음
쌀밥","닭고기채소고추장볶음(계육:미국산)
콩나물국
어묵전
참나물무침
쌀밥
배추김치","비빔밥&계란후라이
팽이버섯장국
마카로니콘샐러드
배추김치","참치채소볶음밥
계란후라이
유부장국
떡강정
단무지"
869Kcal,878Kcal,881Kcal,842Kcal,836Kcal,863Kcal,880Kcal
11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:30,11:30~13:00,11:30~13:00
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"잔치국수
생선까스*타르소스(중국산)
우엉양념밥
배추김치","치킨마요덮밥(계육:중국산)
일식장국
배추김치
요쿠르트","어묵우동
감자크로켓*케찹
단무지
양배추후르츠샐러드","돼지불고기덮밥(돈후지:국내산)
유부장국
샐러드
깍두기","오므라이스
미니함박*데미소스(우육:뉴질랜드산+호주산
돈육:국내산)
양송이버섯스프
깍두기",,
831Kcal,860Kcal,857Kcal,862Kcal,869Kcal,0Kcal,0Kcal
11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10,11:30~13:10, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
특식,특식,"묵은지돼지고기찜(돈전지:미국산)
콩나물국
마늘쫑볶음
쌀밥
요쿠르트","햄버거스테이크*체다치즈(계육
돈육:국내산)
채소볶음밥
일식장국
피클","돈까스토마토소스스파게티(돈육:국내산)
우동국
크루통샐러드
단무지","부대찌개&라면사리(돈육
계육:국내산)
메추리알장조림
샐러드
차조밥
깍두기","뚝배기홍합짬뽕(오징어:국내산)
사모사
쌀밥
단무지",,
866Kcal,889Kcal,876Kcal,872Kcal,889Kcal,0Kcal,0Kcal
11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00,11:30~13:00, :~ :, :~ :
"     3,200원","     3,200원","     3,200원","     3,200원","     3,200원",         0원,         0원
석식,한식,"쇠고기당면볶음(우양지:호주산)
미역국
계란찜.천사채샐러드
쌀밥
깍두기","후랑크케찹볶음(돈육
계육:국내산)
된장찌개
소면채소무침
무말랭이무침
쌀밥
배추김치","부추돼지고기볶음(돈육:미국산)
다시마무채국
콩나물겨자냉채
양배추쌈*쌈장
쌀밥
배추김치","사골우거지탕(우육
사골농축액:호주산)
소세지전(돈육:국내산)
도토리묵*양념장
쑥갓유자청들깨무침
쌀밥
깍두기","떡갈비계란전(돈육:국내산)
어묵매운탕
연근조림
양파초절임
쌀밥
배추김치","돼지고기떡장조림(돈육:국내산)
근대된장국
옥수수전
마늘쫑무침
쌀밥
솎음배추겉절이","버섯콩나물밥
얼갈이된장국
햄구이(돈육
계육:국내산)
환어묵볶음
시금치나물
배추김치"
867Kcal,862Kcal,872Kcal,887Kcal,851Kcal,878Kcal,862Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~18:30,17:30~18:30
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원","     2,800원"
양식,"샐러드돈까스덮밥(돈육:국내산)
일식장국
배추김치","돈까스김치덮밥(돈육:국내산)
유부장국
샐러드","카레라이스
고구마맛탕
일식장국
파인콘샐러드
배추김치","마파두부덮밥
일식장국
미니김치만두
단무지","자장덮밥
군만두(돈육:국내산)
일식장국
누룽지샐러드
배추김치",,
863Kcal,847Kcal,851Kcal,870Kcal,871Kcal,0Kcal,0Kcal
17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00,17:30~19:00, :~ :, :~ :
"     2,800원","     2,800원","     2,800원","     2,800원","     2,800원",         0원,         0원
공지사항,"■ 분식코너 공휴일 및 주말에는 라면메뉴만 제공됩니다. (메뉴1, 메뉴2만 가능)
■ 메뉴는 식자재 수불상황에 따라 변동될 수 있으니 양해 부탁드립니다.  
■ 우리식당은 국내산 쌀과 국내산 배추로 만든 김치류(배추:국산, 고춧가루:국산)만을 사용합니다
■ 원산지표시는 식자재 수불상황에 따라 변경될 수 있으며 당일메뉴는 별도로 원산지를 공지하고 있으니 확인 바랍니다.
■ 특성 식품에 알러지(Allergy)가 있는 고객께서는 메뉴 선택 前？식당 사무실로 문의하여 주시기 바랍니다
■ 볶음밥 (햄-돈육, 계육 국산) / 김치찌개(배추:국산, 고춧가루:국산)"
